"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A870","2019-09-22 00:00:00","685.000","284.000","8.100","17.500","0.990","930.200","","93.000","-99.000","-99.000","-99.000","17.600","","16.500",""
"C0V670","2019-09-22 00:00:00","20.000","351.000","2.700","24.900","0.700","1005.300","","0.000","-99.000","-99.000","-99.000","29.100","","24.600",""
"C0G770","2019-09-22 00:00:00","15.000","39.000","1.500","24.300","0.820","1005.900","","0.000","-99.000","-99.000","-99.000","27.600","","22.800",""
"C0C540","2019-09-22 00:00:00","46.000","187.000","3.500","21.500","0.840","-99.000","","57.500","-99.000","-99.000","-99.000","22.800","","18.600",""
"C0F9O0","2019-09-22 00:00:00","175.000","77.000","1.100","23.500","0.850","988.300","","0.000","-99.000","-99.000","-99.000","27.600","","22.100",""
"C0Z230","2019-09-22 00:00:00","31.000","265.000","3.100","23.400","0.920","1005.000","","8.000","-99.000","-99.000","-99.000","29.400","","23.400",""
"C0U900","2019-09-22 00:00:00","63.000","280.000","2.900","26.100","0.510","1001.800","","8.000","-99.000","-99.000","-99.000","27.400","","22.200",""
"C0X200","2019-09-22 00:00:00","61.000","319.000","2.600","23.100","0.820","1000.800","","0.000","-99.000","-99.000","-99.000","27.200","","22.500",""
"C0G640","2019-09-22 00:00:00","17.000","40.000","1.600","23.600","0.760","1007.700","","0.000","-99.000","-99.000","-99.000","28.200","","22.800",""
"C0Z080","2019-09-22 00:00:00","298.000","352.000","1.000","23.000","0.970","974.200","","12.500","-99.000","-99.000","-99.000","34.000","","22.500",""
"C0U770","2019-09-22 00:00:00","5.000","331.000","2.900","23.200","0.850","1007.000","","7.500","-99.000","-99.000","-99.000","28.100","","22.800",""
"C0Z210","2019-09-22 00:00:00","126.000","0.000","0.100","23.700","0.990","994.500","","18.500","-99.000","-99.000","-99.000","32.200","","23.400",""
"C0V690","2019-09-22 00:00:00","30.000","30.000","1.900","25.000","0.730","1005.000","","0.000","-99.000","-99.000","-99.000","28.800","","24.400",""
